mtkid,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,MoralityGeneral,PurityVice
aA2WYCY1FU11,0.0003111629716063788,0.008945935433683392,0.001439128743679502,0.0018280824581874762,0.007545702061454687,0.00046674445740956834,0.0010112796577207313,0.0013613380007779074,0.0008945935433683392,0.005095293660054454,0.0009723842862699338
aA1YKFB1EU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA2S96ZZ7U11,0.0,0.0,0.010204081632653059,0.0,0.010204081632653059,0.0,0.0,0.0,0.0,0.0,0.0
aA2ETY1O9U11,0.0,0.00018450184501845018,0.0007380073800738008,0.0,0.001107011070110701,0.0,0.0,0.0,0.0,0.0003690036900369004,0.0
aANWY0TG5U11,0.0012553351744915894,0.003263871453678132,0.0035149384885764497,0.0010042681395932712,0.023349234245543558,0.0002510670348983178,0.002008536279186543,0.0012553351744915894,0.0007532011046949537,0.009038413256339443,0.0005021340697966356
aACSZKZPBU11,0.00026821978695685487,0.003831711242240785,0.002720514981990957,0.0009579278105601961,0.0072419342478350825,0.0006130737987585256,0.0006513909111809334,0.0004981224614913019,0.0004214882366464864,0.005096175952180244,0.00038317112422407853
aA4YG74WCU11,0.0004408199250606128,0.002534714569098523,0.002975534494159136,0.001487767247079568,0.008155168613621335,0.0004959224156931894,0.0011020498126515321,0.0008816398501212256,0.0004408199250606128,0.006942913819704651,0.00027551245316288303
aA1FD2PO9U11,0.0006561679790026247,0.005249343832020997,0.0032808398950131233,0.0,0.005249343832020997,0.0006561679790026247,0.0,0.0,0.0,0.001968503937007874,0.0
aA1BRPPNBU11,0.00040153475506379935,0.00236459355759793,0.00223074863924333,0.0007138395645578656,0.006335326135451057,0.0006246096189881324,0.0016507539930400645,0.001026144374051932,0.0008476844829124656,0.0037476577139287947,0.0002676898367091996
aA1U3TT3VU11,0.003041144901610018,0.007155635062611806,0.004472271914132379,0.001967799642218247,0.014490161001788909,0.0008944543828264757,0.0021466905187835423,0.0017889087656529515,0.003220035778175313,0.005008944543828265,0.0017889087656529515
aA3CA7SCTU11,0.0,0.003054989816700611,0.0015274949083503055,0.0010183299389002038,0.006109979633401222,0.0,0.0010183299389002038,0.0,0.0,0.0035641547861507135,0.0
aAKN67C89U11,0.00016007043098963545,0.004521989675457201,0.002401056464844532,0.0017607747408859898,0.006522870062827643,0.00044019368522149756,0.0011204930169274481,0.0009204049781904037,0.0006802993317059508,0.004762095321941654,0.00040017607747408864
aACN0C9HPU11,0.003700277520814061,0.0055504162812210905,0.011100832562442185,0.009250693802035151,0.009250693802035151,0.0046253469010175755,0.006475485661424607,0.006475485661424607,0.007400555041628122,0.009250693802035151,0.0009250693802035152
aAXY0D2AMU11,0.00045657930782576936,0.0049310565245183095,0.0025568441238243084,0.002191580677563693,0.0070313213405168475,0.0005478951693909231,0.0009131586156515387,0.0015523696466076158,0.00027394758469546156,0.005022372386083464,0.00045657930782576936
aA2DKE3NCU11,0.00013245033112582781,0.002913907284768212,0.0033112582781456954,0.0010596026490066225,0.004635761589403974,0.00013245033112582781,0.0010596026490066225,0.0005298013245033114,0.0007947019867549669,0.005033112582781457,0.00039735099337748333
aA38N2MBXU11,0.0006752411575562701,0.006109324758842444,0.0030868167202572345,0.004308681672025722,0.006173633440514469,0.0013504823151125405,0.002958199356913184,0.002154340836012861,0.0012540192926045015,0.0071704180064308684,0.001639871382636656
aA3H5HW66U11,0.00017841213202497767,0.002022004162949748,0.001070472792149866,0.0010110020814748737,0.022360987213797204,0.00047576568539994053,0.0012488849241748439,0.0010110020814748737,0.0008920606601248885,0.003746654772524532,0.0005947071067499256
aA3JPYCC2U11,0.0,0.0,0.0018365472910927454,0.0,0.006427915518824609,0.0,0.0,0.0,0.0,0.0027548209366391185,0.0
aA5OBJUPZU11,0.0012550988390335738,0.0073737056793222455,0.004235958581738312,0.0026670850329463445,0.01004079071226859,0.0006275494195167869,0.0014119861939127707,0.001882648258550361,0.0009413241292751805,0.009570128647631002,0.0010982114841543774
aA318574MU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aADA69G66U11,0.0006925945657964838,0.003516249334043687,0.002131060202450719,0.0017581246670218436,0.008524240809802876,0.0009589770911028236,0.0014384656366542355,0.0011188066062866276,0.0010122535961640917,0.004421949920085242,0.0011188066062866276
aA1T9XW8SU11,0.0012520593080724875,0.0036902800658978577,0.002240527182866557,0.0007907742998352553,0.015551894563426687,0.0007907742998352553,0.0017792421746293246,0.0003953871499176277,0.0005930807248764415,0.004810543657331137,0.0003953871499176277
aA1RAMKQ7U11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA1SOQ9Q3U11,0.0,0.023622047244094488,0.007874015748031496,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.0,0.0
aA17K1CHOU11,0.001056338028169014,0.004225352112676056,0.0035211267605633804,0.007394366197183098,0.005985915492957746,0.0024647887323943664,0.0017605633802816902,0.0017605633802816902,0.0,0.007746478873239438,0.001056338028169014
aA3HZIPKSU11,0.0017730496453900707,0.0035460992907801413,0.0053191489361702135,0.0017730496453900707,0.01773049645390071,0.0,0.0017730496453900707,0.0,0.0035460992907801413,0.0053191489361702135,0.0
aA20MO143U11,0.0002237207964460353,0.00620026207293298,0.005784780593818914,0.003547572629358561,0.005561059797372879,0.0009268432995621463,0.003643452970692576,0.0013423247786762118,0.0009588034133401515,0.007830227875611237,0.0014062450062322222
aAOTIV8H8U11,0.0004919719128762467,0.003577977548190885,0.00818462364148665,0.002683483161143164,0.0061720112706292775,0.0009839438257524934,0.003712151706248044,0.002370410125676461,0.0024598595643812336,0.009034393309181986,0.0018337134934478289
aA1PNQWE4U11,0.00035063113604488083,0.002805049088359046,0.0035063113604488078,0.001402524544179523,0.005960729312762972,0.0007012622720897617,0.001402524544179523,0.0017531556802244039,0.0,0.002805049088359046,0.00035063113604488083
aA1IIDR9HU11,0.0,0.0,0.0,0.0,0.0,0.0,0.001440922190201729,0.0,0.0,0.001440922190201729,0.0
aA5DC16SOU11,0.000714597641827782,0.002858390567311128,0.0025407916153876694,0.0015085950216364287,0.005160982968756204,0.00031759895192345867,0.0009924967247608085,0.0006748977728373496,0.000595498034856485,0.0035332883401484774,0.0005557981658660526
aA27O2IILU11,0.0006364472102397286,0.004136906866558235,0.003217594229545293,0.004172265044904887,0.005763383070504208,0.0026165051976522174,0.003394385121278552,0.0031468778728519905,0.0013082525988261087,0.00537444310869104,0.0008132381019729864
aA2BA753YU11,0.0,0.013605442176870748,0.003401360544217687,0.010204081632653059,0.017006802721088437,0.003401360544217687,0.003401360544217687,0.010204081632653059,0.0,0.013605442176870748,0.0
aAJZT40UHU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA1CSHXVJU11,0.0007520210565895844,0.003149088174468885,0.0028200789622109413,0.002585072382026697,0.005546155292348186,0.0006110171084790374,0.0012690355329949238,0.0011280315848843767,0.0008460236886632825,0.004418123707463809,0.0009400263207369807
aA3CXK1KSU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a8298177U11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA17SHUZEU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA2WKEUKBU11,0.0,0.0014705882352941176,0.0,0.0,0.0029411764705882357,0.0,0.0,0.0,0.0,0.0029411764705882357,0.0
aA1YZJTC0U11,0.0011570726063060456,0.0020248770610355802,0.004917558576800694,0.0014463407578825572,0.0069424356378362745,0.0,0.0014463407578825572,0.0005785363031530228,0.0005785363031530228,0.005206826728377204,0.0002892681515765114
aA1XBAS3AU11,0.0010800033230871481,0.006230788402425854,0.0042369361136495795,0.002492315360970341,0.010966187588269505,0.000664617429592091,0.001329234859184182,0.0011630805017861596,0.0009969261443881366,0.0063138655811248645,0.0008307717869901138
aA2KPT0PEU11,0.0003783579265985623,0.0003783579265985623,0.0003783579265985623,0.0003783579265985623,0.0011350737797956867,0.0003783579265985623,0.0,0.0003783579265985623,0.0,0.0011350737797956867,0.0
aAF6SPK6UU11,0.0006868131868131869,0.002678571428571429,0.0040521978021978025,0.002129120879120879,0.009684065934065934,0.0002747252747252747,0.0019917582417582416,0.0021978021978021982,0.0013736263736263735,0.005013736263736264,0.0011675824175824176
aA2VLTSW6U11,0.0007016312927556568,0.0029819329942115413,0.0043851955797228545,0.0038589721101561134,0.007893352043501141,0.0019294860550780567,0.0029819329942115413,0.0036835642869671994,0.0015786704087002279,0.006139273811611998,0.0008770391159445711
aA3APKUC6U11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA22QD6M0U11,0.0,0.0,0.006666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aAEF74ZYJU11,0.0,0.015037593984962403,0.003759398496240601,0.0,0.0075187969924812035,0.0,0.0,0.0,0.0,0.003759398496240601,0.0
aA610SH5RU11,0.0006345177664974619,0.005710659898477157,0.0038071065989847717,0.006345177664974618,0.0019035532994923856,0.0006345177664974619,0.0038071065989847717,0.003172588832487309,0.003172588832487309,0.00951776649746193,0.004441624365482235
aA3VKJDDUU11,0.0009274287039183864,0.004405286343612335,0.005564572223510317,0.0018548574078367727,0.010665430095061441,0.0,0.002318571759795966,0.001159285879897983,0.0018548574078367727,0.007419429631347091,0.0004637143519591932
aAMTTB8JUU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306117
aA147B5FTU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA28SVE69U11,0.0,0.0,0.0,0.0,5.19588485919152e-05,0.0,0.0,0.0,0.0,5.19588485919152e-05,0.0
aA1PYK3QSU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA2CF2BD4U11,0.0020297699594046007,0.008457374830852503,0.0054127198917456034,0.010148849797023005,0.006427604871447903,0.0020297699594046007,0.0037212449255751017,0.003044654939106901,0.0010148849797023004,0.006765899864682003,0.0006765899864682003
aAW2XWG1NU11,0.00035048366746109633,0.002909014439927099,0.0024183373054815645,0.003014159540165428,0.00287396607318099,0.001962708537782139,0.0011916444693677276,0.0017874667040515915,0.0007009673349221928,0.0011916444693677276,0.0009112575353988504
aA1H1754EU11,0.0,0.0,0.0,0.003401360544217687,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0
aA1SGIACNU11,0.0003883495145631068,0.0048543689320388345,0.004660194174757282,0.0033009708737864077,0.009320388349514564,0.0007766990291262136,0.0031067961165048546,0.0021359223300970874,0.002330097087378641,0.007961165048543689,0.0011650485436893205
aA1ZTSCPEU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA2JMPB5BU11,0.00017452006980802793,0.0022687609075043628,0.0019197207678883074,0.0008726003490401396,0.004363001745200698,0.00017452006980802793,0.0006980802792321117,0.0005235602094240838,0.0008726003490401396,0.003141361256544503,0.0
aA1NIKHUAU11,8.736676568233443e-05,0.0058535733007164074,0.002184169142058361,0.002009435610693692,0.00690197448890442,0.0005242005940940067,0.001397868250917351,0.0008736676568233444,0.00034946706272933774,0.006814607723222087,0.0006989341254586755
aARDIIRIEU11,0.0001508978421608571,0.0010562848951259998,0.002112569790252,0.0001508978421608571,0.005885015844273428,0.0,0.0006035913686434284,0.0,0.0004526935264825713,0.002716161158895428,0.0007544892108042856
aA2539PUSU11,0.00019065776930409916,0.008334468201007762,0.0036497344409641844,0.002396840528394389,0.005665259430750374,0.00046302601116709785,0.0017431567479231922,0.0009805256707067958,0.00032684189023559853,0.007571837123791366,0.0005992101320985972
aA1C3JZP9U11,0.0,0.0,0.0,0.0,0.027027027027027032,0.0,0.0,0.0,0.0,0.013513513513513514,0.0
