handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
JayCzarnick,AYB7U8LZ87F0K,Public,Public,100|200,118,TRUE,1319
jh_burton,A3F51C49T9A34D,Public,Public,0|100,8,TRUE,33
ptanka,A0467121226LDESR9HWNF,Public,Public,0|100,76,TRUE,1186
itsgarsha,A5W6U5FSDF4QX,Public,Public,100|200,139,TRUE,341
azrtairne,A3KC385CZNYEG5,Public,Public,400|500,414,TRUE,103767
jenivi7,AJFVK3O1D7SPE,Public,Public,100|200,45,TRUE,822
SirCatBallsPhD,AGWEXUS5XLGMX,Private,Public,100|200,74,TRUE,665
flytronix225,AXJYGUTPJ6YC4,Public,Public,0|100,0,TRUE,10
graysam13,A39N38SJ4SPW94,Public,Public,200|300,102,TRUE,1176
crystalsethh,A1X9D35OHEP9FG,Public,Public,200|300,199,TRUE,1305
_haleymilano,A13OAZH7U7HFF4,Public,Public,200|300,323,TRUE,22925
owlstuff,A11EL5LWS2L1HX,Public,Public,0|100,2,TRUE,59
sevenelevenhell,APY2D74NQIQ7W,Public,Public,200|300,297,TRUE,21819
RonS_PT,A3IC7ZQ257WUNV,Public,Public,0|100,41,TRUE,6506
patriciar3,A1CUK9RG3RW1DY,Public,Public,1000|999999,1106,TRUE,2138
writergirlcarly,A3FEPWQ93EKNL0,Public,Public,0|100,44,TRUE,851
TrevorRodenbeck,A2BCXZKY9Y7BF6,Public,Public,0|100,49,TRUE,192
goblin_wars,AX29XXI8QOSC6,Public,Public,0|100,9,TRUE,335
SavedByGrace14,A1NDM9R54FJMPW,Public,Public,100|200,286,TRUE,2402
brodawg42069,A1S9N071I5RPE9,Public,Public,0|100,58,TRUE,467
Newlysane,A20OJFEDEPK5SU,Public,Public,1000|999999,3708,TRUE,45747
nowayitsbless,A2SKQU23TNJKTB,Public,Public,300|400,366,TRUE,16643
SellingDrama,A3QEBRCOTOBU6V,Public,Public,0|100,0,TRUE,2
gtrumbo,AMHSZPFIQZKCP,Public,Public,0|100,49,TRUE,793
JeritB,A3T021IZ1409ZH,Public,Public,0|100,29,TRUE,18
smashasaurus,A2JPUXT8WS5YVX,Public,Public,100|200,167,TRUE,5314
drewsalinas,A1XV3WQ8OY7VVW,Public,Public,400|500,325,TRUE,638
rari797,A1OBB3PWYWK9KK,Public,Public,0|100,19,TRUE,184
angelgirl22222,A1DF8MGECR4ZK8,Public,Public,0|100,14,TRUE,148
TexasRed,AFWJT2RB6Y4SZ,Public,Public,0|100,88,TRUE,593
NoNameToDie,AWJ4EHRKDZ53X,Private,Public,100|200,19,TRUE,13
forgetxclosure,A31D4OCLMV4K5K,Public,Public,200|300,292,TRUE,20449
NeoGenMike,A1I8KRIXSGZXX2,Public,Public,0|100,0,TRUE,19
unique4purpose,A2YKYAZYVWOXBO,Public,Public,0|100,25,TRUE,158
m_griesenauer,ADNAVIZ9SABYS,Public,Public,100|200,157,TRUE,1818
Chubosaurus,A12JZYXJMB6BG4,Public,Public,0|100,6,TRUE,15
YvesNoble,A16LTU114BWG76,Public,Public,1000|999999,7952,TRUE,757
Bloodbringer2,A1RWXE4FE0N6SS,Public,Public,0|100,14,TRUE,29
chrisirvin83,A2Z0K8BA0U0VI3,Private,Public,0|100,1,TRUE,7
theRealSchady,A1NM3VA211XXEN,Public,Public,0|100,9,TRUE,112
yellowheatso,ADR5NXD0FGONS,Public,Public,0|100,57,TRUE,1274
krazywithkurves,A36PJP7KXXI184,Public,Public,200|300,293,TRUE,2702
kss4tink,A34UFMGVNCFKVV,Public,Public,0|100,11,TRUE,240
tamaleconsalsa,A3M706WDRF9W4E,Public,Public,0|100,43,TRUE,975
aesilverman,A2N9Q1IHLP4LGI,Public,Public,0|100,25,TRUE,2090
toddmallen_tw,A3DBG3IETULYCN,Public,Public,0|100,5,TRUE,21
Noe_Lunar,A2O5D7QT0XKCEG,Public,Public,I do not wish to disclose this information.,2424,TRUE,6471
MissinginCalif,A29GNU19VJN3Q6,Public,Public,1000|999999,2369,TRUE,8919
kaurinchan,A1WJ1S1LXP47NH,Public,Public,0|100,67,TRUE,3308
KaitlynZuverink,A2RI0A23GBPJSD,Public,Public,0|100,36,TRUE,231
JacqualynHardin,A3I5AH4959TUYF,Public,Public,100|200,36,TRUE,3
