mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement
A32U64W0S9PUA3,28,29,20,29,22,-10,2
AQBMXL3D39ZC0,22,17,23,22,23,4,4
A3VY42IIJXD3IC,27,23,25,25,21,-2,5
A2YFTTVAH9AFXU,23,21,20,19,12,-8,1
AE87K978IXPYP,27,26,10,14,5,-10,1
A2E3UTEZNB9BN9,21,20,12,12,18,-2,1
A27GK6AHDNFW5Y,25,18,19,19,13,2,6
AA6K05EFNJ3T0,20,30,9,21,10,-6,6
AO33H4GL9KZX9,23,23,20,22,15,4,1
AUHRS2GFPRADF,18,17,17,18,18,-10,4
A3B919K25SR35,23,25,23,23,28,-6,2
APDDA1Y59RHV9,30,25,29,30,29,6,3
AKX5RHHO8BIUX,29,24,24,23,16,4,1
A1PIGZNLSQMGNW,22,18,14,17,21,-10,1
A3HSONMX6LNZR4,25,24,8,11,3,-10,6
A6N190372TE5T,30,30,4,0,2,-8,5
ACRTRQ23XH20E,20,14,13,21,18,-2,0
A4CPMNA135GK4,11,21,8,13,10,-2,7
AEX8AD7WN63KO,21,30,9,3,1,-10,4
ACGZDI611LU0I,24,25,18,19,21,-4,5
A5N551A5UQ4G2,16,12,17,17,14,0,4
A3J2JDTVK5TN5S,26,29,8,8,8,-10,5
A23IRWAODQDAA7,21,25,15,18,9,-8,1
A1S315FYTGY9GL,25,28,16,18,5,-8,2
A3BL2ZEODD79AZ,17,16,16,23,11,4,1
A28F1ZWZ9H0RHA,28,30,3,8,0,-8,5
A2NYDCQ3Y6QS4Q,23,21,15,19,19,-8,4
A3GAQNTZ1V1VO,17,23,28,26,25,2,4
AUFUUD4WG9CVO,30,28,12,2,0,-10,2
A17485GZMUEVZ9,29,26,14,12,5,-10,1
A1KCC93NOV6TH2,19,17,22,23,18,6,1
A3RS7UCO7CQ74R,8,3,3,2,12,4,1
A3774HPOUKYTX7,11,21,15,10,8,-8,6
A1AZLJ3R5FQ9B7,26,22,21,23,27,-4,2
A3RFELKHWTBCB4,22,25,13,10,11,-10,5
A1YQRXE5CBVBHV,20,21,23,22,22,0,6
AQH9FEEROUJUO,18,18,22,19,18,-6,6
A1G7T6PC3KNH4M,25,25,8,15,6,-8,7
A8YVGN8FQ3VH4,12,18,19,18,7,0,1
A1M8GE34UYSUCB,21,24,3,10,2,-4,1
A1CW0W7Q2NLDDJ,23,20,17,17,11,-8,1
AHEEMGVMGEMEQ,19,21,18,19,20,0,1
A3IU2E7QCWYEZI,26,21,27,27,25,8,2
A2HSCKH5NKN5LP,22,21,13,7,0,2,2
A222R4PNCF08OF,30,23,18,20,20,-4,1
A3V0DBGRRC1B67,20,24,15,14,10,-8,7
A2WYCY1FMQOD5F,18,14,13,15,9,-4,2
A1YKFB1EKM08EV,22,21,19,20,17,2,1
A2S96ZZ70YFPSK,29,28,11,7,9,-8,1
A1NGG9MJ39HX5L,24,27,25,23,27,4,7
A2ETY1O927Z1IF,21,23,15,18,12,-8,1
ACSZKZPBGYYKO,23,25,11,14,8,-8,3
A4YG74WC1EK5V,22,24,16,20,6,-4,2
A1FD2PO9OQ2LY8,26,27,14,14,9,-6,4
A1BRPPNBN3LKU5,23,24,8,16,20,-6,4
A1U3TT3VMH9FU9,19,18,26,19,24,2,6
A3CA7SCTM4H9IO,22,20,19,22,23,2,5
AKN67C89B5QW5,24,25,21,21,23,-6,6
ACN0C9HPYDTED,21,24,22,18,7,6,6
AXY0D2AMLKE2A,21,25,14,18,13,-8,1
A2DKE3NCEA5W79,23,24,13,18,22,-4,1
A38N2MBXP7IOPS,13,24,4,15,0,-6,6
A3H5HW66S1BKID,23,24,17,17,23,-10,2
A3FKSU0K36G5YM,27,22,12,15,17,-10,2
A3JPYCC2U4D9CZ,27,26,18,24,18,-10,1
A5OBJUPZLVOKG,19,25,8,14,5,-8,2
A318574M8Q965P,27,22,19,21,18,-6,2
ADA69G66J3524,24,26,10,21,24,4,3
AFKB7F09OVKV7,17,15,14,14,15,-8,2
A1T9XW8SNUDDY7,24,23,15,18,17,-6,2
A1RAMKQ7DTZSY9,18,18,18,18,18,10,6
A1OK6MLE9277O6,29,28,24,28,30,-4,2
A1SOQ9Q35SASE4,21,25,11,9,1,-8,2
A17K1CHOI773VZ,21,18,28,24,25,10,5
A3HZIPKSCYU7ZI,12,25,5,16,16,-4,3
A20MO1430Z8C18,14,16,16,16,17,2,5
AOTIV8H84F69E,30,30,2,2,0,-6,4
A1PNQWE4UAI1P2,23,26,7,17,18,-4,1
A1IIDR9HLUB1MR,25,20,18,18,19,-6,4
A5DC16SOZSECI,28,24,13,20,21,-8,4
A27O2IILV3S5YS,23,22,15,13,10,-10,7
A2BA753YMXLDAP,27,30,11,18,13,-10,7
A25CFVQND4A0EV,15,23,3,5,1,4,1
A1CSHXVJJ8BPHH,21,12,17,23,21,4,5
A3CXK1KSRGU27V,27,30,8,2,0,-10,1
8298177,29,27,13,13,19,-8,1
A17SHUZEBPYOO2,8,13,21,24,2,6,2
A2WKEUKBXD5EMV,21,19,15,18,11,-8,2
A1YZJTC04W0A01,21,22,15,19,6,-8,3
A1XBAS3AXLFB5F,18,15,15,18,20,-2,6
A2KPT0PEUEXCC4,28,22,21,20,14,2,2
AF6SPK6UEL3,18,21,4,3,3,-6,6
A2VLTSW6CXIUMR,22,23,23,26,22,8,6
A3APKUC67F9IMW,19,19,13,12,9,-6,2
A22QD6M0A2C77C,22,18,14,16,14,-4,2
AEF74ZYJTTEIA,17,18,15,9,10,-10,3
A610SH5RY1NG1,29,28,9,6,0,-6,1
A3VKJDDU7MMUVD,21,27,16,28,12,-2,3
AMTTB8JUWRRM7,27,30,15,17,18,-6,1
ABMX8XUNPR3Lp,9,25,0,9,0,-6,1
A2M3KQ9CKP7YW,20,24,17,19,9,4,2
A1JO6AY55FG7QU,16,15,14,16,11,-2,1
