handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
SellingDrama,A3QEBRCOTOBU6V,Public,Public,0|100,0,True,2
gtrumbo,AMHSZPFIQZKCP,Public,Public,0|100,49,True,796
JeritB,A3T021IZ1409ZH,Public,Public,0|100,29,True,16
smashasaurus,A2JPUXT8WS5YVX,Public,Public,100|200,167,True,5296
drewsalinas,A1XV3WQ8OY7VVW,Public,Public,400|500,322,True,639
rari797,A1OBB3PWYWK9KK,Public,Public,0|100,21,True,182
angelgirl22222,A1DF8MGECR4ZK8,Public,Public,0|100,12,True,131
TexasRed,AFWJT2RB6Y4SZ,Public,Public,0|100,88,True,593
NoNameToDie,AWJ4EHRKDZ53X,Private,Public,100|200,19,True,13
forgetxclosure,A31D4OCLMV4K5K,Public,Public,200|300,292,True,20401
NeoGenMike,A1I8KRIXSGZXX2,Public,Public,0|100,0,True,19
unique4purpose,A2YKYAZYVWOXBO,Public,Public,0|100,25,True,156
m_griesenauer,ADNAVIZ9SABYS,Public,Public,100|200,157,True,1811
Chubosaurus,A12JZYXJMB6BG4,Public,Public,0|100,6,True,15
YvesNoble,A16LTU114BWG76,Public,Public,1000|99999,7880,True,733
Bloodbringer2,A1RWXE4FE0N6SS,Public,Public,0|100,14,True,29
chrisirvin83,A2Z0K8BA0U0VI3,Private,Public,0|100,1,True,7
theRealSchady,A1NM3VA211XXEN,Public,Public,0|100,9,True,111
yellowheatso,ADR5NXD0FGONS,Public,Public,0|100,57,True,1274
krazywithkurves,A36PJP7KXXI184,Public,Public,200|300,293,True,2683
kss4tink,A34UFMGVNCFKVV,Public,Public,0|100,11,True,237
tamaleconsalsa,A3M706WDRF9W4E,Public,Public,0|100,43,True,956
aesilverman,A2N9Q1IHLP4LGI,Public,Public,0|100,25,True,2088
toddmallen_tw,A3DBG3IETULYCN,Public,Public,0|100,5,True,21
MissinginCalif,A29GNU19VJN3Q6,Public,Public,1000|99999,2367,True,8883
kaurinchan,A1WJ1S1LXP47NH,Public,Public,0|100,68,True,3308
KaitlynZuverink,A2RI0A23GBPJSD,Public,Public,0|100,36,True,232
JacqualynHardin,A3I5AH4959TUYF,Public,Public,100|200,36,True,3
Jay_Day_Gaming,A2S3SV1LQTKJ8K,Public,Public,300|400,382,True,571
TonyStonyb31,A3CHEPE7BQHSY7,Public,Public,0|100,9,True,38
christy_conlin,AL8XTNQ7MQH5F,Public,Public,0|100,69,True,105
_ChadNat_,A19H44LQJ0TEXF,Public,Public,500|600,544,True,4034
mattofinan,A2OXSNVB5JI2BF,Public,Public,100|200,14,True,0
eugenefinley10,A53LV70R73Q73,Public,Public,100|200,27,True,41
JazzmanStudios,AHN0AVRM65XB0,Public,Public,0|100,3,True,3164
meilinry,A5X1KZ9CCHREK,Public,Public,0|100,40,True,2010
Azuredragoon,AEDV0CBBPU0RE,Public,Public,0|100,4,True,67
sammy012665,AZVI1B5Z5L56N,Public,Public,0|100,79,True,1016
Livingwithstuff,A1CPVTZAK27YSF,Private,Public,0|100,62,True,165
GaryRayHess,A1HJAT4A0FVIOZ,Public,Public,300|400,228,True,692
40trina,A14AKM0M9VIDCG,Public,Public,1000|99999,2790,True,5283
Janetwise11,A3QUWIT972BYUH,Public,Public,0|100,5,True,104
lonelypoet18,A3I668PEONUFH0,Private,Public,0|100,21,True,419
Noelle_Cooper,A3JG44GC9BIM58,Public,Public,0|100,29,True,42
atachovaldez,A1PZIN8H1VI6SY,Private,Public,100|200,22,True,17
rydershilo,A1B14CS9DW7008,Public,Public,0|100,79,True,3492
a_r_woodard,A2GFLJDDJ33MI4,Public,Public,0|100,2,True,2
vacross,ASWRCA8J5G771,Public,Public,200|300,244,True,1901
paulbaldovin,A3IEFYBAJDK48K,Public,Public,1000|99999,3356,True,40423
sophiavoravong,AJMWITY1XT7H7,Public,Public,300|400,393,True,3220
MelanieS_Clarke,A2HC9549CZAKNN,Public,Public,500|600,544,True,321
cool_dog_2,A8RDXT4ZILHQT,Public,Public,200|300,289,True,1444
pettycanoodler,ATADQXPHL10Y8,Public,Public,300|400,229,True,28930
Reviews05579876,A28JBDTFGFJ5NR,Public,Public,0|100,17,True,9
masterx12345,A4T4577P6JL6R,Public,Public,0|100,46,True,2910
randomdude98471,A272X64FOZFYLB,Public,Public,0|100,0,True,1
azra00000,A2F0A4FIVT9M3O,Private,Public,0|100,3,True,144
Elizabeth25,A2BRZKFG6WAVER,Public,Public,100|200,67,True,3038
rogan12h,A203C9REA20IT3,Public,Public,0|100,63,True,2671
beyondedm,A38DXFI1TZA295,Public,Public,1000|99999,1435,True,5088
Invicious,A102VHF4S7WXQF,Public,Public,0|100,14,True,124
KYhomemaker,ATOV0H5KQHI29,Public,Public,100|200,74,True,5834
amber_gardner85,A1VFRCYMWGWWCZ,Public,Public,0|100,25,True,7
Jakra64,AT7QJKGCPSO6J,Public,Public,0|100,11,True,9
deosoculus,A3EHI7J2E5DSJK,Public,Public,0|100,67,True,5592
TerrieW1,A1QJ2VPPZG16EG,Public,Public,0|100,4,True,8
wtblanchard,A1DNJ17PE2RYJZ,Public,Public,100|200,163,True,206
hp246,A2VX8B1CJXRN2,Public,Public,0|100,40,True,304
scubasjl,A2FIMENJ9UMN7M,Public,Public,0|100,25,True,373
southernbred__,A12WRJ2ZMDW3SU,Public,Public,200|300,212,True,7034
Cheapgamer1,A2H5UA2MUBT4QX,Public,Public,0|100,0,True,3
