mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement,Political Leaning
A5DC16SOZSECI,28,24,13,20,21,-8,4,liberal
A27O2IILV3S5YS,23,22,15,13,10,-10,7,liberal
A2BA753YMXLDAP,27,30,11,18,13,-10,7,liberal
AJZT40UH0HWQ3,22,24,6,17,8,-6,2,liberal
A1CSHXVJJ8BPHH,21,12,17,23,21,4,5,slightly
A3CXK1KSRGU27V,27,30,8,2,0,-10,1,liberal
8298177,29,27,13,13,19,-8,1,liberal
A17SHUZEBPYOO2,8,13,21,24,2,6,2,conservative
A2WKEUKBXD5EMV,21,19,15,18,11,-8,2,liberal
A1YZJTC04W0A01,21,22,15,19,6,-8,3,liberal
A1XBAS3AXLFB5F,18,15,15,18,20,-2,6,slightly
A2KPT0PEUEXCC4,28,22,21,20,14,2,2,slightly
AF6SPK6UEL3,18,21,4,3,3,-6,6,liberal
A2VLTSW6CXIUMR,22,23,23,26,22,8,6,conservative
A3APKUC67F9IMW,19,19,13,12,9,-6,2,liberal
A22QD6M0A2C77C,22,18,14,16,14,-4,2,slightly
AEF74ZYJTTEIA,17,18,15,9,10,-10,3,liberal
A610SH5RY1NG1,29,28,9,6,0,-6,1,liberal
A3VKJDDU7MMUVD,21,27,16,28,12,-2,3,slightly
AMTTB8JUWRRM7,27,30,15,17,18,-6,1,liberal
ABMX8XUNPR3Lp,9,25,0,9,0,-6,1,liberal
A2M3KQ9CKP7YW,20,24,17,19,9,4,2,slightly
A1JO6AY55FG7QU,16,15,14,16,11,-2,1,slightly
A36KQFLIXQTAQ,29,27,15,14,9,-8,1,liberal
A34BX72ZUITSW3,17,24,6,8,7,-10,6,liberal
A25PFSORDO3SWQ,23,24,15,14,8,-4,1,slightly
A1I5YNJ60UATA4,20,18,20,20,20,4,4,slightly
A1WL3NZ50YEOWP,8,20,0,1,0,-10,1,liberal
AI57RR8OF4MR7,23,26,20,23,12,-4,1,slightly
A3NYUZFBZTCUFK,19,22,15,18,13,-4,1,slightly
A1CE2XPYCDRHVZ,27,27,19,16,15,-6,5,liberal
A319HGTKM0UY0V,13,20,6,8,3,-8,1,liberal
AZTHBV93S8U3T,30,30,1,6,0,-8,3,liberal
A18QU0YQB6Q8DF,25,17,18,24,29,10,5,conservative
test234,21,26,11,17,12,-6,6,liberal
A2VBSFSJXLZZ7A,24,26,16,21,14,2,1,slightly
A1KFUXSVGSHL5Z,19,20,18,18,17,4,3,slightly
A2PMT4061B1NDP,26,20,10,13,17,-8,1,liberal
A2ORPKVJKI0EIO,2,23,5,5,0,-10,1,liberal
A35NEL9WYU3VG8,21,23,15,13,4,-10,6,liberal
A1NLW5ZS2WQR35,28,30,23,30,30,-2,1,slightly
A1P6OXEJ86HQRM,26,25,8,3,3,-10,4,liberal
A2NGMLBFZ3YQP5,27,30,14,7,7,-10,1,liberal
A234SQAJKIG8VD,17,25,20,16,8,-6,7,liberal
A1SX8IVV82M0LW,18,20,11,16,9,-4,2,slightly
A3U6IA3JUSFZ2M,30,26,0,0,0,-10,6,liberal
A2QWTQ4I70BRWO,18,21,18,20,15,-4,1,slightly
A1WR3WTEHJEY2D,24,28,12,10,5,-10,3,liberal
A2YGAEODJ5SSF6,16,25,11,17,21,0,4,moderate
A13DD9WSQZ2D2M,17,21,9,8,2,-8,2,liberal
A3A6C8329VTSN7,17,18,19,19,23,-2,1,slightly
A3M3DCE0R1ZWQS,22,21,23,25,21,6,6,conservative
AJTNDRWYD3IFR,25,24,10,7,14,-6,5,liberal
A13T61GJTR2Y9B,21,25,12,12,0,-2,1,slightly
AL5UXD1GLG4X0,26,25,20,20,16,-6,1,liberal
A1JNDBFZZBTEA0,26,20,23,13,16,-6,2,liberal
AECQ7QG4CQP69,29,24,14,14,9,-8,1,liberal
A332S5HG3XL6TE,17,22,18,22,17,-8,7,liberal
AHKRGPN5D3I2G,30,28,13,28,30,-8,2,liberal
A16L296MDDV1ZX,18,22,19,22,18,6,5,conservative
A3HOBJ4PJUOCUN,21,19,12,17,9,0,2,moderate
A2Z0UFTYUDNE97,28,22,9,11,17,-6,7,liberal
APY5858P6BTDY,18,18,16,16,19,-2,4,slightly
AZCGSVDT79E6X,27,26,12,20,10,-8,2,liberal
A2MWAXV1YRK5GH,24,22,18,15,3,-10,1,liberal
A1TJZFTCYX4ASU,19,19,13,19,11,6,2,conservative
A1UGD2VEVSML1U,20,25,8,14,1,-4,2,slightly
A2NK67A23XP83H,17,19,20,18,21,-2,5,slightly
A1CX684F5TEO5W,24,25,3,5,4,-8,1,liberal
A3C0NQ2IP5FTZQ,26,24,22,18,22,-4,4,slightly
A147B5FTAKXVPS,20,26,21,30,26,2,5,slightly
A28SVE690PQ5P7,13,14,13,10,14,2,2,slightly
A1PYK3QS7O93XA,20,23,13,18,11,-8,1,liberal
A2CF2BD4Q0ZDJN,24,27,15,16,14,-8,5,liberal
