,mtkid,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice,anger_nrc,anticipation_nrc,disgust_nrc,fear_nrc,joy_nrc,negative_nrc,positive_nrc,sadness_nrc,surprise_nrc,trust_nrc
76,aA3ID5G33U11,5650,63.59,63.98,39.35,56.53,5650,19.7,83.42,49.06,12.46,8.58,4.05,0.87,2.48,0.35,0.83,3.88,5.7,12.71,8.78,4.85,5.79,2.62,16.41,3.95,1.65,1.33,2.02,1.66,7.72,4.65,3.03,0.39,1.26,0.37,11.03,0.28,0.32,0.53,0.35,11.79,2.42,1.98,1.84,2.07,1.52,3.47,2.46,0.99,0.94,0.41,1.86,0.5,0.71,0.32,0.16,8.02,3.17,1.56,2.3,1.4,0.65,2.46,12.39,1.26,11.63,1.86,5.52,4.37,2.83,1.49,0.28,1.22,0.14,0.42,2.32,0.65,1.04,0.48,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0,0.11,0.18,0.0,0.02,0.32,0.04,0.14,0.02,0.0,0.07,0.0224738984250575,0.0283135728189701,0.0148646257299593,0.0226508582551761,0.0242434967262431,0.0430012387188108,0.0516722703946204,0.0212351796142276,0.0127411077685365,0.0286674924792072
77,aA19H44LQU11,35097,57.39,59.99,27.83,61.27,35097,13.83,82.21,47.69,13.73,8.39,3.03,0.66,1.8,1.57,1.34,5.33,5.54,11.18,8.68,5.71,4.95,1.99,17.52,5.5,2.12,1.41,1.82,2.23,9.09,5.45,3.58,0.23,2.03,0.51,9.8,0.26,0.37,0.44,1.7,11.31,1.83,1.68,1.88,2.99,1.83,2.84,2.52,1.38,0.59,0.43,2.51,1.08,0.4,0.72,0.31,8.18,1.98,1.71,2.58,2.48,0.77,3.42,12.29,1.85,13.23,1.98,6.16,5.27,1.64,1.78,0.12,0.96,0.49,0.3,4.26,1.87,1.86,0.21,0.36,0.03,0,0,0,0,0,0,0,0,0,0,0,0.06,0.16,0.04,0.01,0.09,0.03,0.09,0.04,0.05,0.02,0.0241005042304077,0.0310514770817309,0.0182035723442441,0.0211377944904994,0.0237301655129191,0.0419052502635102,0.0482010084608153,0.0183744979061619,0.0196279520268923,0.0329031706691736
78,aA5X1KZ9CU11,22321,52.72,69.94,30.28,80.25,22321,14.09,77.01,46.03,16.11,10.24,4.52,0.56,2.07,1.92,1.16,5.86,4.41,10.19,7.89,5.05,3.75,1.8,15.6,3.75,1.57,2.09,2.53,1.15,7.07,5.03,2.03,0.2,0.63,0.64,11.52,0.34,0.5,0.34,2.71,8.31,1.96,1.36,1.01,1.55,1.03,2.36,4.3,2.01,1.63,0.55,2.37,0.98,0.6,0.09,0.28,6.57,2.43,1.25,2.02,1.24,0.48,2.24,12.23,1.37,11.99,1.39,6.25,4.49,1.25,2.05,0.29,0.34,0.27,0.09,2.45,0.26,1.65,0.23,0.27,0.07,0,0,0,0,0,0,0,0,0,0,0,0.13,0.12,0.0,0.02,0.12,0.0,0.04,0.0,0.05,0.0,0.0118732918141494,0.0257179981181953,0.0104395358214974,0.0138447063040459,0.0297056319727586,0.0277790223576325,0.047313947757516,0.0164433890407276,0.0139343160535866,0.0267933151126843
79,aA1KZ21TSU11,2620,84.73,71.78,45.39,99.0,2620,16.22,79.47,42.1,11.03,7.82,4.01,0.23,3.09,0.27,0.23,3.21,4.85,14.08,6.79,3.32,3.74,0.65,15.23,4.16,0.99,1.18,5.46,1.03,8.93,8.47,0.46,0.0,0.15,0.11,7.82,0.08,0.19,0.11,0.53,7.48,1.18,2.37,0.99,1.45,1.11,0.69,1.37,0.76,0.27,0.31,0.73,0.04,0.23,0.11,0.27,12.56,3.17,5.69,4.2,6.18,0.23,3.85,10.5,1.26,15.69,2.6,7.4,5.8,2.48,3.74,0.08,4.69,0.04,0.04,0.73,0.04,0.34,0.23,0.04,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.0202212895841282,0.048454788248760004,0.00457840518885921,0.0164059519267455,0.0423502479969477,0.0110644792064098,0.0671499427699351,0.00610454025181229,0.0171690194582221,0.0381533765738268
80,aabc123U11,1657,91.61,74.09,46.79,75.12,1657,31.02,78.39,37.72,6.16,3.08,0.42,1.45,0.84,0.0,0.36,3.08,5.67,13.88,5.43,3.44,5.19,0.97,10.62,6.7,2.84,2.29,1.09,1.93,6.28,4.41,1.75,0.42,0.54,0.42,8.27,0.18,0.18,0.06,0.24,14.24,5.19,4.53,0.84,1.63,1.27,2.72,3.08,1.57,0.42,0.6,2.53,1.03,1.21,0.12,0.24,9.41,3.38,1.93,3.26,0.97,1.09,1.51,7.66,0.78,13.04,2.05,6.94,3.86,6.22,1.15,0.0,0.78,0.97,0.18,0.66,0.0,0.18,0.48,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.18,0.0,0.3,0.36,0.0,0.06,0.0,0.0,0.06,0.0205190102595051,0.0229330114665057,0.009656004828002409,0.0247435123717562,0.0217260108630054,0.03983101991551,0.0706095353047677,0.0205190102595051,0.0114665057332529,0.0343995171997586
81,aA1DNJ17PU11,2980,82.9,63.65,23.06,29.71,2980,19.13,76.54,44.66,8.72,4.36,0.74,1.01,0.94,1.34,0.34,4.36,6.78,13.12,7.89,4.73,4.13,2.08,14.73,5.64,2.68,1.28,2.15,2.25,6.04,3.09,2.85,0.34,1.14,0.47,7.45,0.03,0.37,0.17,1.54,10.64,1.81,1.58,1.51,3.02,1.38,2.99,2.75,1.31,1.01,0.27,0.67,0.27,0.23,0.07,0.07,7.62,1.51,1.44,3.46,1.51,0.91,3.62,8.99,1.28,13.89,1.51,7.01,5.47,2.95,1.24,0.54,1.41,0.27,0.23,0.77,0.1,0.4,0.13,0.17,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07,0.2,0.07,0.03,0.1,0.07,0.2,0.03,0.07,0.03,0.0201274740020127,0.0231465951023147,0.0137537739013754,0.0197920161019792,0.0161019792016102,0.0429386112042939,0.05098960080509901,0.0167728950016773,0.0181147266018115,0.033210332103321
82,aAUHRS2GFU11,7561,99.0,78.4,13.0,98.97,7561,13.53,74.69,38.34,5.82,3.88,0.58,1.39,1.64,0.17,0.09,1.94,8.31,19.11,1.86,1.3,2.54,0.26,8.44,2.34,0.79,0.4,4.56,0.79,7.41,6.67,0.73,0.08,0.4,0.19,6.24,0.15,0.24,0.13,0.32,7.27,0.62,0.63,0.44,4.89,0.56,0.52,1.04,0.6,0.15,0.22,0.65,0.21,0.19,0.03,0.2,13.54,5.11,5.58,6.9,5.44,0.15,1.01,7.26,0.28,13.13,4.29,3.48,5.42,1.18,2.76,0.15,0.41,0.16,0.38,2.67,0.05,2.46,0.09,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.01,0.0,0.11,0.01,0.05,0.01,0.01,0.0,0.00992063492063492,0.0207671957671958,0.00423280423280423,0.012962962962963,0.0153439153439153,0.0187830687830688,0.0358465608465608,0.00992063492063492,0.0507936507936508,0.0166666666666667
83,aA1EOPEG6U11,37333,88.88,59.89,47.32,93.32,37333,18.85,76.7,42.19,10.47,7.37,4.48,0.51,1.27,0.62,0.49,3.09,6.63,13.71,5.64,4.2,2.87,1.04,13.25,4.66,1.43,1.01,3.4,1.62,6.88,5.57,1.26,0.2,0.35,0.31,7.77,1.17,0.21,0.92,0.59,7.35,1.92,1.29,0.96,1.71,0.89,1.48,3.16,2.18,0.39,0.42,1.66,0.36,0.53,0.06,0.57,8.45,2.66,2.39,2.06,2.81,0.38,4.11,7.97,0.96,14.31,1.45,7.08,5.81,2.13,2.0,0.84,1.99,0.28,0.29,0.79,0.05,0.39,0.23,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0.02,0.0,0.38,0.02,0.13,0.02,0.03,0.01,0.0113274241491043,0.0347052995206598,0.00803363414830089,0.0141927536619982,0.0327504485445733,0.0233778753715556,0.060359371234234,0.0132287175642021,0.0168438529309375,0.033527033178909
84,aA341XKSRU11,31,10.24,62.65,99.0,25.77,31,22.58,93.55,54.84,19.35,16.13,6.45,3.23,6.45,0.0,0.0,3.23,3.23,9.68,16.13,3.23,6.45,6.45,32.26,9.68,6.45,0.0,0.0,6.45,6.45,3.23,3.23,0.0,0.0,3.23,9.68,0.0,0.0,0.0,0.0,9.68,6.45,0.0,0.0,0.0,0.0,3.23,3.23,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,9.68,3.23,0.0,0.0,6.45,0.0,3.23,19.35,3.23,19.35,6.45,3.23,9.68,3.23,0.0,0.0,3.23,0.0,0.0,3.23,0.0,3.23,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.032258064516129
85,aA8RDXT4ZU11,5616,62.88,51.85,34.71,60.2,5616,14.98,80.95,47.36,15.1,9.83,5.57,0.32,2.28,0.89,0.77,5.25,6.23,11.15,8.33,4.13,4.15,2.01,15.72,5.41,1.71,0.91,1.67,1.41,8.87,5.34,3.53,0.34,1.51,0.52,9.29,0.23,0.61,0.52,1.1,9.53,1.83,1.1,1.34,2.07,1.26,2.94,3.15,1.23,0.5,1.12,3.81,1.34,0.98,0.53,0.96,6.91,1.91,1.05,2.24,1.55,0.55,2.97,10.45,0.94,10.52,1.39,5.52,3.72,0.94,1.32,0.27,0.55,0.53,0.84,3.63,0.91,1.34,0.71,0.41,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04,0.36,0.04,0.0,0.07,0.04,0.07,0.02,0.09,0.09,0.0243989314336598,0.027426536064113997,0.0197684772929653,0.0313446126447017,0.0267141585040071,0.0487978628673197,0.05485307212822799,0.0258236865538736,0.0130008904719501,0.0327693677649154
86,aA20OJFEDU11,41139,40.79,85.59,42.71,83.49,41139,17.24,88.58,53.41,17.79,11.87,4.04,0.85,5.64,0.48,0.86,5.91,5.41,11.39,9.97,5.04,5.72,2.49,18.52,5.0,2.18,2.24,1.21,1.94,8.88,5.98,2.74,0.49,0.7,0.71,14.59,0.4,0.44,0.53,0.53,14.38,3.44,1.99,2.0,3.17,2.15,3.61,2.56,0.91,0.66,0.77,3.21,0.67,1.41,0.2,0.43,8.85,2.94,1.73,2.53,1.84,0.79,2.48,14.05,1.41,11.28,1.76,5.25,4.49,1.56,0.86,0.27,0.49,0.61,0.15,1.56,0.32,0.76,0.33,0.09,0.02,0,0,0,0,0,0,0,0,0,0,0,0.23,0.13,0.02,0.0,0.1,0.01,0.16,0.03,0.03,0.02,0.0157970204389141,0.0313996160108878,0.0110093080905048,0.020779157654264,0.0361144190341945,0.0351179915911245,0.0658371205677206,0.0199042457530318,0.0143874401535956,0.0387634578462585
87,aA3M3DCE0U11,63284,47.62,48.44,49.78,42.36,63284,19.14,85.86,54.31,15.93,8.14,3.92,0.47,2.36,0.54,0.85,7.77,6.67,12.37,10.1,5.92,6.15,2.73,18.1,5.27,3.32,1.89,1.03,2.5,5.53,3.19,2.27,0.37,0.64,0.28,8.82,0.1,0.19,0.11,0.71,17.53,4.02,2.19,2.17,4.63,1.98,5.3,2.54,0.92,0.72,0.68,1.2,0.26,0.38,0.04,0.52,6.24,1.49,1.29,1.86,1.38,0.76,3.16,12.74,1.17,10.44,1.35,5.56,3.59,1.79,1.57,0.16,0.74,0.28,0.16,0.96,0.1,0.32,0.36,0.15,0.03,0,0,0,0,0,0,0,0,0,0,0,0.05,0.09,0.11,0.02,0.07,0.01,0.11,0.01,0.03,0.03,0.0142857142857143,0.0227150749802684,0.0109707971586425,0.018232044198895,0.0168429360694554,0.0324704025256511,0.0436148382004736,0.0147277032359905,0.0115706393054459,0.0271191791633781
88,aA194E79BU11,1962,76.12,50.41,47.27,54.56,1962,17.38,76.4,46.43,12.13,7.24,4.13,0.36,1.89,0.41,0.46,4.84,6.93,12.79,7.9,5.35,4.08,1.27,16.06,3.87,1.89,1.17,2.7,2.4,3.57,2.55,1.02,0.15,0.15,0.1,5.61,0.15,0.05,0.05,0.51,9.84,1.07,1.73,2.24,2.85,1.07,2.29,2.85,1.73,0.66,0.36,1.68,0.41,0.56,0.1,0.56,6.47,1.33,0.87,1.89,1.83,0.76,2.5,10.65,1.53,15.75,2.8,7.85,5.4,1.63,1.27,0.66,1.33,0.15,0.61,1.22,0.05,0.82,0.31,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.05,0.0147733061640346,0.0295466123280693,0.0086602139582272,0.0137544574630667,0.021395822720326,0.0305654610290372,0.0392256749872644,0.0142638818135507,0.0203769740193581,0.0234335201222618
89,aA1PNQWE4U11,4283,69.47,65.61,42.22,52.02,4283,16.58,80.57,45.39,13.43,8.34,3.74,0.98,2.22,0.98,0.42,5.07,5.88,12.05,7.89,4.18,4.6,1.66,15.71,5.25,2.01,0.98,2.22,1.38,7.8,4.58,3.18,0.26,1.66,0.4,9.83,0.44,0.72,0.47,1.33,8.99,1.54,1.21,1.87,1.87,1.26,2.9,3.62,2.22,1.0,0.4,1.49,0.4,0.56,0.12,0.23,8.55,2.87,1.21,3.27,1.61,0.56,2.92,10.81,1.7,14.5,1.84,6.42,6.49,1.84,2.12,0.47,0.3,0.19,0.75,3.55,0.72,1.63,0.72,0.49,0.07,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.05,0.0,0.14,0.02,0.19,0.02,0.0,0.0,0.0219421101774043,0.0329131652661064,0.0137721755368814,0.0226423902894491,0.0259103641456583,0.0392156862745098,0.0485527544351074,0.0165732959850607,0.0130718954248366,0.0364145658263305
90,atest234U11,3102,80.21,70.05,19.75,40.88,3102,24.31,80.11,46.23,10.77,5.38,1.77,0.9,1.23,0.64,0.84,5.38,7.38,12.96,7.77,4.61,4.8,1.45,13.7,5.38,2.84,1.77,1.45,2.26,6.64,3.74,2.9,0.39,1.16,0.48,9.61,0.39,0.45,0.71,1.42,11.57,2.51,1.84,1.81,2.77,1.42,2.93,2.06,0.64,0.71,0.55,1.61,0.42,0.71,0.29,0.23,8.48,2.48,1.55,3.09,1.23,1.06,2.39,9.67,0.87,11.12,1.23,6.13,3.8,4.06,0.87,0.0,0.58,0.74,0.32,1.16,0.32,0.64,0.1,0.06,0.03,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.1,0.06,0.13,0.06,0.26,0.03,0.06,0.03,0.0209677419354839,0.0193548387096774,0.0151612903225806,0.0229032258064516,0.0187096774193548,0.0445161290322581,0.0609677419354839,0.0190322580645161,0.0106451612903226,0.0280645161290323
91,aA1MIBEGFU11,38486,65.71,62.23,55.05,78.17,38486,17.59,81.59,47.51,13.33,8.96,4.83,0.87,2.35,0.53,0.38,4.36,6.29,11.87,8.24,5.25,4.85,1.78,15.64,4.46,2.11,1.43,2.13,1.68,6.35,4.57,1.72,0.23,0.48,0.39,9.26,0.45,0.31,0.81,0.58,9.42,1.74,1.48,1.32,2.05,1.41,2.65,2.9,1.07,1.03,0.59,2.62,0.72,0.59,0.07,1.03,7.58,2.52,1.55,2.38,1.94,0.4,2.84,11.16,1.29,14.4,2.08,6.51,5.97,2.53,1.79,0.5,0.5,0.95,0.21,1.74,0.12,0.81,0.5,0.28,0.04,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.03,0.01,0.12,0.01,0.23,0.01,0.13,0.01,0.012653952086473,0.0332068804240503,0.0088083978589617,0.0165774567375149,0.0301668139063556,0.0280361689965182,0.0560463545185262,0.0133035389492283,0.0154082003845554,0.0354934261809489
92,aA3J6V7EWU11,49897,66.0,58.41,46.39,47.37,49897,15.31,83.9,49.9,14.33,8.54,4.16,0.75,1.53,1.24,0.86,5.78,7.33,12.22,9.24,4.95,4.37,1.84,17.27,4.96,2.65,1.55,2.16,2.04,5.55,3.32,2.16,0.23,0.82,0.33,9.38,0.48,0.38,0.48,1.69,11.16,2.14,1.48,1.84,2.6,1.49,3.04,3.06,1.37,0.85,0.62,2.38,0.69,0.44,0.19,1.08,7.47,1.97,1.44,2.72,1.74,0.57,3.89,11.15,1.28,14.21,2.0,6.62,5.77,2.25,1.97,0.42,0.92,0.23,0.23,1.65,0.49,0.53,0.33,0.16,0.03,0,0,0,0,0,0,0,0,0,0,0,0.05,0.11,0.03,0.01,0.08,0.02,0.15,0.01,0.03,0.01,0.0158466223255069,0.0264243929802067,0.0115193525122205,0.0167281032133985,0.0214560461575447,0.0326949274781633,0.0449154579693886,0.0160469588909368,0.0140035259235516,0.0297499799663435
93,aA377LTGWU11,6007,65.34,71.99,62.16,96.35,6007,14.95,83.32,47.18,13.53,9.49,3.95,0.73,3.55,0.77,0.5,4.05,5.04,12.64,7.76,5.88,3.96,1.98,16.61,5.39,1.85,1.51,2.98,1.65,7.77,6.33,1.43,0.08,0.35,0.45,10.15,0.57,0.3,1.12,0.45,9.74,1.73,1.23,1.7,2.25,1.43,2.61,2.61,0.77,0.98,0.77,2.28,0.28,0.47,0.0,0.95,8.46,2.4,2.33,3.03,3.45,0.3,3.23,11.52,1.35,17.03,3.56,6.33,7.41,1.63,2.21,0.45,1.25,0.15,0.08,1.43,0.07,0.62,0.38,0.37,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.02,0.0,0.08,0.0,0.1,0.02,0.07,0.0,0.0113182423435419,0.0411118508655127,0.00499334221038615,0.0111517976031957,0.0427762982689747,0.0196404793608522,0.0630825565912117,0.0114846870838881,0.0223035952063915,0.0302929427430093
94,aA17485GZU11,55,57.84,10.17,91.12,98.09,55,16.36,92.73,45.45,16.36,9.09,9.09,0.0,0.0,0.0,0.0,7.27,7.27,9.09,9.09,1.82,3.64,3.64,18.18,3.64,1.82,0.0,1.82,5.45,5.45,5.45,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,16.36,0.0,1.82,1.82,7.27,5.45,3.64,3.64,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,12.73,3.64,3.64,3.64,1.82,0.0,1.82,12.73,0.0,18.18,1.82,7.27,9.09,7.27,3.64,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0363636363636364,0.0,0.0,0.0181818181818182,0.0181818181818182,0.0545454545454545,0.0363636363636364,0.0,0.0
95,aAXTVX0Y7U11,35166,49.9,49.14,50.31,27.76,35166,13.58,84.47,50.09,16.37,10.81,6.49,0.49,2.76,0.55,0.5,5.55,6.69,10.23,9.67,5.7,4.2,1.96,18.94,4.58,1.59,1.53,1.13,1.75,6.93,3.51,3.4,0.28,1.69,0.54,9.2,0.2,0.47,0.59,0.69,10.95,2.27,1.27,1.76,2.77,1.43,2.65,3.78,1.91,0.9,0.74,3.94,1.31,0.75,1.05,0.98,6.15,1.62,1.07,1.89,1.71,0.44,3.57,13.4,1.61,11.94,1.72,5.84,4.58,1.48,1.59,0.39,0.41,0.33,0.25,3.77,1.56,1.24,0.54,0.34,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0.13,0.02,0.01,0.04,0.03,0.09,0.02,0.03,0.05,0.0216927757086402,0.0252466380462286,0.0183663605606573,0.0221192391891508,0.0222613936826543,0.0418502828874421,0.0440394620873966,0.0197310436982913,0.0123674409348079,0.0258721178176442
96,aA23IRWAOU11,2797,99.0,79.95,23.66,25.2,2797,26.78,52.2,24.28,1.82,1.07,0.54,0.0,0.36,0.07,0.11,0.75,8.37,11.66,1.18,0.82,0.72,0.36,5.58,1.5,0.79,0.18,5.11,0.64,0.97,0.46,0.5,0.14,0.14,0.11,9.4,0.04,0.0,0.0,0.11,2.07,0.29,0.32,0.39,0.46,0.46,0.46,1.29,0.29,0.86,0.07,0.36,0.18,0.04,0.04,0.14,10.19,8.26,0.32,1.25,0.32,0.25,0.39,1.93,0.25,15.87,3.32,3.5,9.12,1.5,0.93,0.0,1.61,0.0,0.07,0.39,0.0,0.32,0.0,0.07,0.0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.00357525920629246,0.005005362888809439,0.0025026814444047197,0.0046478369681801895,0.0039327851269217,0.0100107257776189,0.00679299249195567,0.0046478369681801895,0.00286020736503396,0.00607794065069718
97,aA2USG66RU11,173,58.56,30.13,52.58,1.0,173,13.29,90.17,57.23,22.54,13.87,7.51,0.58,3.47,1.16,1.16,8.67,5.2,16.18,8.67,2.89,2.31,2.89,20.23,1.73,1.16,1.73,1.16,0.58,6.36,0.58,5.78,0.0,4.62,0.58,9.83,0.0,0.0,1.16,0.0,10.98,0.58,1.16,4.05,2.89,0.58,4.62,1.73,1.73,0.0,0.0,1.73,0.58,0.0,1.16,0.0,13.87,0.58,6.36,5.78,1.16,0.0,3.47,15.03,2.31,13.87,1.16,9.25,5.78,9.25,0.0,0.0,0.58,0.0,0.0,6.94,4.05,2.31,0.58,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173410404624277,0.0115606936416185,0.0115606936416185,0.0173410404624277,0.0,0.0404624277456647,0.023121387283237003,0.0173410404624277,0.00578034682080925,0.00578034682080925
98,aA36KQFLIU11,235,99.0,69.52,25.35,99.0,235,19.57,67.66,27.23,2.55,1.7,0.43,0.43,0.85,0.0,0.0,0.85,6.81,15.32,1.7,1.28,1.28,0.0,8.09,2.98,0.85,0.0,17.02,0.43,13.19,13.19,0.0,0.0,0.0,0.0,4.68,1.28,0.43,0.43,0.0,2.13,1.28,0.0,0.0,0.85,0.0,0.43,0.0,0.0,0.0,0.0,1.28,1.28,0.0,0.0,0.0,14.47,2.55,11.49,5.11,11.49,0.0,1.28,5.96,0.0,14.89,4.68,2.55,7.66,0.0,1.7,4.68,0.0,0.0,0.43,1.7,0.0,1.28,0.0,0.43,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.0127659574468085,0.00425531914893617,0.00425531914893617,0.0127659574468085,0.0170212765957447,0.0340425531914894,0.0127659574468085,0.0170212765957447,0.00851063829787234
99,aA3B919K2U11,735,57.7,77.28,27.52,89.5,735,12.52,83.54,42.86,17.69,10.2,3.81,0.82,3.95,1.36,0.27,7.48,4.76,9.25,6.39,3.95,2.72,1.5,15.65,5.17,1.09,2.18,0.95,1.77,9.93,6.8,2.99,0.0,1.9,0.54,13.61,1.5,1.09,0.27,3.4,7.76,1.22,1.22,1.36,1.36,1.9,2.04,2.99,1.9,0.41,0.41,5.44,2.45,0.41,2.59,0.68,10.34,4.63,1.77,3.81,2.31,0.0,1.36,11.56,1.36,13.06,1.77,7.76,3.81,1.5,2.31,0.54,1.09,0.41,0.41,9.39,3.54,5.44,0.54,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.41,0.0,0.14,0.0,0.14,0.0,0.0231292517006803,0.0231292517006803,0.0163265306122449,0.017687074829932,0.0353741496598639,0.0394557823129252,0.0625850340136054,0.019047619047619,0.0149659863945578,0.0258503401360544
100,aA1JH50STU11,53769,74.51,75.79,13.44,44.76,53769,21.18,79.88,48.37,12.24,7.24,1.67,1.72,1.25,1.33,1.27,5.0,7.06,12.88,8.52,4.05,4.84,2.01,15.44,4.36,2.22,1.57,1.76,1.92,6.09,3.53,2.5,0.29,1.07,0.46,10.83,0.24,0.12,0.54,1.13,10.0,1.81,1.57,1.74,1.89,1.68,2.85,1.72,0.78,0.6,0.25,1.43,0.34,0.68,0.11,0.27,9.69,2.92,1.54,4.21,1.27,0.8,2.58,10.81,1.36,11.1,1.79,5.77,3.68,3.62,0.69,0.29,1.7,0.23,0.3,1.19,0.27,0.44,0.34,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0.17,0.21,0.09,0.02,0.22,0.04,0.2,0.05,0.05,0.02,0.0216441361869875,0.0236895442458952,0.0158054259097417,0.0230201379720709,0.0199892151211439,0.0418378921140222,0.0543148812733595,0.0198404581714052,0.015005857304896002,0.0360363710742111
101,aA3JG44GCU11,482,95.7,69.81,65.83,72.39,482,25.73,69.5,35.48,7.68,5.6,2.49,1.66,0.83,0.21,0.41,2.07,3.94,16.18,3.94,2.28,2.7,0.41,8.51,3.94,0.62,0.21,3.53,0.83,3.73,3.11,0.62,0.0,0.21,0.41,6.43,0.62,0.41,0.41,0.41,3.11,0.21,0.41,0.62,0.62,1.04,0.83,3.53,1.04,2.28,0.21,0.62,0.0,0.41,0.0,0.21,7.26,4.77,1.45,1.24,0.62,0.0,1.04,5.6,2.49,20.75,1.24,10.79,9.13,2.07,5.81,0.41,1.45,2.28,0.21,0.21,0.0,0.0,0.21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.41,0.0,0.00829875518672199,0.029045643153527003,0.0,0.00622406639004149,0.0394190871369295,0.00622406639004149,0.0726141078838174,0.0103734439834025,0.00829875518672199,0.0269709543568465
102,aAL2K0EBCU11,26,54.88,64.99,17.46,99.0,26,7.69,80.77,61.54,15.38,11.54,7.69,0.0,3.85,0.0,0.0,3.85,3.85,19.23,19.23,0.0,7.69,0.0,26.92,0.0,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,3.85,0.0,0.0,3.85,0.0,0.0,0.0,11.54,3.85,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,11.54,0.0,7.69,3.85,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.0,0.0,0.0384615384615385
103,aA13DD9WSU11,32110,76.35,60.4,54.62,77.14,32110,17.51,84.12,48.9,11.66,6.27,2.49,0.55,1.63,0.8,0.79,5.38,6.9,14.15,8.08,4.99,5.32,1.9,15.37,5.42,3.05,1.37,2.37,2.46,5.62,4.17,1.38,0.17,0.36,0.28,8.48,0.3,0.19,0.25,0.97,11.76,1.95,1.35,1.72,3.42,1.46,3.55,2.46,1.21,0.6,0.5,1.48,0.37,0.46,0.01,0.52,8.14,2.05,2.54,3.06,2.27,0.44,2.93,10.54,1.39,16.22,2.02,8.02,6.33,2.99,1.98,0.39,1.22,0.12,0.08,1.06,0.09,0.48,0.23,0.24,0.02,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0.05,0.01,0.14,0.01,0.18,0.01,0.01,0.01,0.0127658249525174,0.0323504685991842,0.00806426503098048,0.0132640034872497,0.022604851013482002,0.0251891521624062,0.0526823800479497,0.0127969611109381,0.0142914967151353,0.0327241025002335
